חודש,ריבית,אינפלציה,קרן תחילת תקופה,תשלום חודשי,"ע""ח קרן","ע""ח ריבית",הצמדה לקרן,הצמדה לריבית,פרעון מוקדם,קרן סוף תקופה
209,4.80%,0.00%,59668,525,286,239,0,0,0,43069
210,4.80%,0.00%,59382,525,287,238,0,0,0,42673
211,4.80%,0.00%,59095,525,288,236,0,0,0,42275
212,4.80%,0.00%,58806,525,289,235,0,0,0,41875
213,4.80%,0.00%,58517,525,291,234,0,0,0,41474
214,4.80%,0.00%,58226,525,292,233,0,0,0,41072
215,4.80%,0.00%,57934,525,293,232,0,0,0,40668
216,4.80%,0.00%,57642,525,294,231,0,0,0,40262
217,4.80%,0.00%,57347,525,295,229,0,0,0,39855
218,4.80%,0.00%,57052,525,296,228,0,0,0,39446
219,4.80%,0.00%,56756,525,298,227,0,0,0,39036
220,4.80%,0.00%,56458,525,299,226,0,0,0,38624
221,4.80%,0.00%,56159,525,300,225,0,0,0,38210
222,4.80%,0.00%,55859,525,301,223,0,0,0,37795
223,4.80%,0.00%,55558,525,302,222,0,0,0,37379
224,4.80%,0.00%,55256,525,304,221,0,0,0,36961
225,4.80%,0.00%,54952,525,305,220,0,0,0,36541
226,4.80%,0.00%,54647,525,306,219,0,0,0,36119
227,4.80%,0.00%,54341,525,307,217,0,0,0,35696
228,4.80%,0.00%,54034,525,309,216,0,0,0,35271
229,4.80%,0.00%,53725,525,310,215,0,0,0,34845
230,4.80%,0.00%,53415,525,311,214,0,0,0,34417
231,4.80%,0.00%,53104,525,312,212,0,0,0,33988
232,4.80%,0.00%,52792,525,313,211,0,0,0,33556
233,4.80%,0.00%,52479,525,315,210,0,0,0,33124
234,4.80%,0.00%,52164,525,316,209,0,0,0,32689
235,4.80%,0.00%,51848,525,317,207,0,0,0,32253
236,4.80%,0.00%,51531,525,319,206,0,0,0,31815
237,4.80%,0.00%,51212,525,320,205,0,0,0,31375
238,4.80%,0.00%,50892,525,321,204,0,0,0,30934
239,4.80%,0.00%,50571,525,322,202,0,0,0,30491
240,4.80%,0.00%,50249,525,324,201,0,0,0,30046
241,4.80%,0.00%,49925,525,325,200,0,0,0,29600
242,4.80%,0.00%,49600,525,326,198,0,0,0,29152
243,4.80%,0.00%,49274,525,328,197,0,0,0,28702
244,4.80%,0.00%,48946,525,329,196,0,0,0,28251
245,4.80%,0.00%,48617,525,330,194,0,0,0,27798
246,4.80%,0.00%,48287,525,332,193,0,0,0,27343
247,4.80%,0.00%,47956,525,333,192,0,0,0,26886
248,4.80%,0.00%,47623,525,334,190,0,0,0,26427
